,x0,carat,cut,color,clarity,x,y,z,depth,table,price
170,1,0.37,3,3,8,4.54,4.56,2.83,62.2,59.0,746
171,1,1.05,5,6,6,6.54,6.55,4.04,61.7,55.0,9624
172,1,0.46,5,3,5,4.97,5.01,3.05,61.1,55.0,1130
173,1,0.41,3,7,7,4.76,4.8,2.95,61.7,58.0,1018
174,1,1.5,4,5,7,7.33,7.28,4.55,62.3,58.0,15291
175,1,1.01,3,4,6,6.35,6.4,4.0,62.9,54.0,6773
177,1,1.22,4,4,7,6.82,6.87,4.26,62.2,59.0,8583
178,1,1.11,2,6,5,6.62,6.66,4.08,61.4,57.5,6178
179,1,1.23,4,5,4,7.02,6.96,4.19,59.9,58.0,5841
180,1,0.3,5,4,10,4.26,4.29,2.66,62.2,56.0,850
181,1,0.74,5,4,7,5.85,5.8,3.6,61.8,55.0,2960
182,1,0.3,5,7,5,4.34,4.3,2.68,62.0,56.0,709
183,1,0.32,5,1,10,4.37,4.41,2.73,62.2,56.0,533
184,1,0.25,3,6,9,4.16,4.19,2.41,57.7,62.0,548
186,1,1.74,5,6,4,7.8,7.7,4.83,62.3,57.0,10085
187,1,0.8,4,6,4,6.03,5.99,3.55,59.1,61.0,2304
189,1,1.57,4,3,6,7.54,7.5,4.59,61.0,59.0,11575
190,1,0.37,5,6,7,4.6,4.65,2.86,61.6,54.0,858
192,1,0.4,2,7,5,4.68,4.71,2.97,63.3,57.0,720
193,1,1.01,3,7,4,6.39,6.46,3.95,61.5,56.0,4719
194,1,2.01,1,3,4,7.88,7.81,5.09,64.9,56.0,10184
195,1,2.01,1,3,4,7.88,7.81,5.09,64.9,56.0,10184
196,1,0.31,5,7,7,4.3,4.36,2.69,62.1,56.0,704
197,1,0.33,5,7,8,4.44,4.46,2.72,61.1,56.0,955
198,1,1.09,4,3,6,6.64,6.58,4.06,61.4,58.0,5677
199,1,0.71,5,4,6,5.73,5.76,3.55,61.8,56.0,3299
200,1,0.71,5,5,7,5.73,5.76,3.57,62.1,57.0,3066
202,1,0.3,5,5,10,4.35,4.36,2.65,60.8,56.0,892
203,1,0.7,2,5,5,5.55,5.49,3.55,64.3,62.0,1878
205,1,1.4,3,4,7,7.31,7.34,4.39,59.9,56.0,11584
209,1,0.52,5,7,5,5.14,5.12,3.23,63.0,57.0,1605
211,1,0.41,2,5,9,4.71,4.74,3.02,63.9,56.0,915
213,1,0.37,4,6,6,4.68,4.66,2.75,58.9,61.0,1041
214,1,1.0,1,3,7,6.52,6.47,3.73,57.4,68.0,4368
216,1,0.52,3,6,6,5.07,5.12,3.21,63.0,58.0,1641
218,1,1.02,5,7,4,6.43,6.38,4.0,62.5,57.0,4044
219,1,0.41,4,6,4,4.83,4.79,2.95,61.3,57.0,876
220,1,0.41,5,6,6,4.74,4.78,2.94,61.8,56.0,935
221,1,1.0,4,4,7,6.39,6.3,3.95,62.3,58.0,6290
222,1,0.41,5,6,9,4.8,4.76,2.93,61.3,55.0,1431
223,1,1.32,5,7,8,7.16,7.23,4.27,59.3,59.0,15802
224,1,0.42,5,4,8,4.84,4.88,3.0,61.7,56.0,1571
225,1,1.02,3,6,5,6.48,6.54,3.94,60.5,63.0,4813
226,1,0.73,3,6,5,5.81,5.86,3.51,60.2,60.0,2564
227,1,0.83,5,6,4,6.04,6.08,3.75,61.9,53.0,3103
228,1,1.01,5,6,5,6.43,6.39,4.0,62.4,56.0,5599
229,1,0.3,2,4,6,4.24,4.29,2.71,63.5,58.0,456
230,1,0.34,5,4,8,4.48,4.44,2.77,62.1,55.0,995
231,1,0.52,4,7,6,5.15,5.2,3.2,61.8,58.0,1774
232,1,0.47,2,5,7,5.04,5.09,2.99,59.0,60.2,1243
233,1,2.01,1,4,4,7.8,7.73,5.05,65.0,60.0,13721
235,1,0.72,5,7,4,5.76,5.8,3.54,61.2,57.0,2328
236,1,0.7,3,7,5,5.69,5.73,3.56,62.3,58.0,2804
237,1,0.24,5,7,7,3.92,4.0,2.48,62.6,57.0,687
238,1,0.51,5,4,9,5.14,5.1,3.19,62.3,55.0,2111
239,1,2.01,3,2,7,8.03,7.93,5.07,63.5,59.0,14792
240,1,0.31,2,6,5,4.33,4.36,2.75,63.3,55.0,544
241,1,1.0,4,4,4,6.49,6.44,3.97,61.5,56.0,3142
242,1,0.31,2,3,9,4.33,4.3,2.75,63.7,56.0,786
243,1,0.3,2,3,5,4.24,4.27,2.72,63.9,55.0,421
244,1,0.31,4,4,9,4.33,4.4,2.64,60.5,60.0,816
245,1,0.45,2,6,5,4.86,4.81,3.09,63.9,57.0,1063
246,1,0.3,3,3,5,4.29,4.27,2.71,63.3,56.0,554
247,1,0.8,4,5,6,5.98,6.03,3.7,61.6,58.0,3429
249,1,1.01,4,5,7,6.54,6.5,3.94,60.4,59.0,7409
250,1,0.41,4,4,6,4.8,4.83,2.93,60.9,58.0,827
251,1,1.01,5,4,5,6.46,6.43,3.98,61.8,55.0,5141
252,1,0.3,4,4,7,4.28,4.24,2.65,62.2,59.0,776
253,1,0.3,3,5,7,4.31,4.34,2.66,61.5,56.0,654
254,1,0.33,5,4,10,4.51,4.48,2.77,61.6,55.0,1052
255,1,0.35,3,6,6,4.51,4.55,2.78,61.4,58.0,665
256,1,0.73,5,4,8,5.74,5.81,3.61,61.9,56.0,3183
259,1,0.23,3,7,9,3.9,3.93,2.48,63.3,57.0,478
261,1,0.9,2,5,5,5.97,5.99,3.83,64.0,59.0,3696
263,1,0.31,4,3,8,4.31,4.36,2.7,62.3,60.0,625
264,1,0.3,5,3,7,4.33,4.31,2.65,61.3,56.0,675
266,1,0.77,4,4,5,5.85,5.88,3.67,62.6,58.0,2528
267,1,0.72,4,4,7,5.71,5.66,3.51,61.7,59.0,2685
268,1,0.81,4,3,4,5.98,5.92,3.7,62.2,56.0,2534
271,1,0.5,5,6,4,5.09,5.04,3.19,63.0,57.0,1181
272,1,0.71,5,2,4,5.72,5.74,3.53,61.6,56.0,1947
273,1,0.75,4,6,6,5.9,5.79,3.63,62.1,57.0,3024
274,1,0.83,3,7,10,6.14,6.23,3.69,59.7,53.0,7889
276,1,1.05,5,4,7,6.56,6.59,4.04,61.5,55.0,7247
277,1,0.41,5,5,7,4.77,4.75,2.98,62.6,55.0,1076
279,1,1.08,5,6,8,6.64,6.67,4.06,61.0,56.0,11166
280,1,0.4,1,7,5,4.63,4.68,3.03,65.1,55.0,644
281,1,0.52,5,4,9,5.15,5.18,3.2,62.0,55.0,2029
283,1,1.5,3,4,6,7.39,7.43,4.48,60.5,57.0,12014
285,1,2.04,4,1,6,8.04,8.14,4.97,61.4,59.0,13477
286,1,0.32,5,3,7,4.42,4.41,2.73,61.8,55.0,720
288,1,0.51,5,3,6,5.07,5.1,3.2,62.9,57.0,1397
290,1,0.71,3,6,5,5.8,5.85,3.51,60.3,58.0,2570
291,1,1.53,5,6,5,7.39,7.44,4.54,61.2,58.0,13324
292,1,1.52,4,7,5,7.59,7.55,4.48,59.2,61.0,12823
293,1,0.32,5,4,7,4.39,4.43,2.73,61.9,55.0,645
294,1,0.5,5,2,9,5.1,5.13,3.15,61.6,56.0,1747
295,1,0.71,5,4,6,5.73,5.68,3.59,62.9,56.0,2443
297,1,0.39,5,7,8,4.79,4.77,2.87,60.0,56.0,1088
298,1,2.29,5,1,4,8.36,8.39,5.25,62.8,56.0,14500
299,1,0.24,3,6,9,3.94,3.96,2.48,62.8,59.0,485
300,1,0.7,2,4,5,5.57,5.51,3.54,63.9,58.0,2218
301,1,1.01,3,5,6,6.45,6.5,3.98,61.5,54.0,7370
303,1,0.5,3,7,6,5.05,5.08,3.21,63.4,57.0,1627
305,1,2.03,4,1,5,8.12,8.06,5.02,62.1,59.0,12979
306,1,1.06,4,7,5,6.69,6.63,3.92,58.9,61.0,5983
307,1,1.5,4,6,5,7.41,7.24,4.5,61.4,59.0,11638
308,1,0.4,5,4,4,4.73,4.74,2.94,62.1,55.0,926
310,1,0.75,5,5,5,5.87,5.9,3.58,60.8,57.0,3610
312,1,1.01,2,7,7,6.34,6.37,4.01,63.1,59.0,7955
313,1,0.31,3,4,4,4.3,4.34,2.67,61.8,59.0,408
314,1,0.76,5,7,6,5.95,5.92,3.57,60.2,56.0,3293
315,1,0.35,5,2,10,4.56,4.6,2.8,61.1,56.0,715
316,1,0.8,5,5,7,5.92,5.88,3.68,62.4,55.0,3884
317,1,1.01,5,6,5,6.43,6.4,3.95,61.6,59.0,5590
319,1,1.5,5,2,10,7.34,7.41,4.52,61.3,56.0,12725
320,1,0.5,5,5,5,5.09,5.06,3.18,62.7,57.0,1378
322,1,0.37,2,7,5,4.59,4.55,2.91,63.7,55.0,874
323,1,0.5,3,7,6,5.02,5.08,3.17,62.8,60.0,1627
326,1,0.25,3,6,8,4.0,4.03,2.53,63.0,55.0,575
328,1,1.7,4,2,4,7.83,7.75,4.63,59.4,59.0,7250
329,1,1.5,5,3,5,7.34,7.29,4.54,62.0,55.0,11189
332,1,0.44,4,6,6,4.81,4.91,3.03,62.3,59.0,1003
333,1,0.51,5,5,6,5.13,5.16,3.16,61.4,56.0,1569
336,1,1.18,5,6,4,6.89,6.83,4.17,60.8,57.0,4885
337,1,0.5,5,1,7,5.06,5.09,3.17,62.5,57.0,1082
338,1,0.7,4,5,5,5.7,5.73,3.52,61.6,58.0,2441
339,1,0.5,3,6,5,5.03,5.07,3.18,63.0,61.0,1279
340,1,0.93,4,7,5,6.3,6.24,3.81,60.8,60.0,3812
341,1,2.0,3,2,5,8.24,8.28,4.83,58.5,58.0,15249
342,1,1.06,3,3,6,6.49,6.56,4.07,62.4,56.0,5480
344,1,0.59,5,4,5,5.37,5.39,3.32,61.8,56.0,1718
345,1,0.31,4,4,6,4.37,4.32,2.66,61.2,58.0,698
346,1,1.0,2,3,5,6.29,6.35,3.89,61.6,61.0,4405
347,1,1.03,1,3,4,6.35,6.25,4.18,66.3,57.0,3749
348,1,0.29,3,5,9,4.31,4.35,2.59,59.8,61.0,609
349,1,0.7,4,7,7,5.66,5.61,3.47,61.6,61.0,3001
350,1,0.3,5,4,10,4.3,4.33,2.68,62.1,54.0,863
352,1,1.05,3,3,6,6.42,6.48,4.08,63.3,58.0,5236
354,1,0.95,5,3,5,6.31,6.35,3.92,61.9,56.0,4958
355,1,2.11,4,7,4,8.45,8.41,4.95,58.7,60.0,15198
357,1,0.51,4,7,7,5.24,5.21,3.11,59.5,57.0,1873
358,1,0.41,3,5,8,4.79,4.83,2.9,60.3,58.0,1115
359,1,1.07,5,2,6,6.66,6.6,4.05,61.1,57.0,4319
360,1,1.01,5,5,5,6.38,6.42,4.0,62.5,56.0,4969
364,1,2.23,4,1,4,8.4,8.35,5.13,61.3,60.0,13931
365,1,1.06,4,6,4,6.64,6.59,3.97,60.0,59.0,3989
366,1,0.7,3,7,9,5.63,5.64,3.57,63.4,59.0,4362
367,1,0.31,5,4,9,4.35,4.39,2.71,62.0,53.0,789
369,1,1.0,2,3,4,6.28,6.24,4.0,63.8,55.0,3640
371,1,0.35,4,6,5,4.57,4.52,2.76,60.7,59.0,788
372,1,0.83,4,1,5,6.17,6.1,3.64,59.3,59.0,2022
374,1,1.03,4,3,3,6.46,6.51,3.96,61.1,60.0,3172
376,1,1.5,5,5,4,7.28,7.26,4.57,62.9,55.0,9996
377,1,2.09,5,2,6,8.13,8.17,5.1,62.5,56.0,17999
378,1,0.71,4,7,5,5.74,5.69,3.52,61.6,60.0,2797
379,1,1.05,5,6,5,6.48,6.5,4.03,62.1,57.0,5436
381,1,0.53,5,7,6,5.23,5.2,3.19,61.2,56.0,1956
383,1,0.57,4,2,7,5.33,5.28,3.27,61.6,58.0,1212
384,1,0.46,4,6,6,4.95,4.91,3.03,61.5,60.0,1173
388,1,1.23,3,5,7,7.06,7.09,4.18,59.1,58.0,9694
389,1,0.4,2,3,6,4.75,4.66,2.97,63.1,62.0,717
392,1,1.71,5,3,6,7.64,7.7,4.76,62.1,56.0,14017
393,1,1.16,5,4,10,6.73,6.79,4.21,62.3,55.0,9901
394,1,1.31,4,5,4,7.03,6.86,4.36,62.7,61.0,4743
398,1,2.03,3,4,5,8.09,8.18,4.89,60.1,60.0,18630
400,1,1.52,4,2,5,7.29,7.23,4.56,62.8,62.0,9295
401,1,0.52,4,5,8,5.16,5.13,3.18,61.8,60.0,2870
402,1,0.71,4,5,7,5.71,5.67,3.57,62.7,58.0,2879
403,1,0.79,4,6,9,5.89,5.8,3.67,62.8,60.0,4490
404,1,0.3,4,2,7,4.29,4.26,2.69,62.9,58.0,608
405,1,0.24,3,6,7,3.97,4.0,2.46,61.7,60.0,430
406,1,1.0,5,6,6,6.42,6.36,3.96,62.0,56.0,6261
407,1,0.43,5,6,5,4.82,4.78,2.99,62.3,57.0,1016
409,1,0.35,5,7,5,4.54,4.55,2.8,61.6,57.0,644
410,1,0.43,4,3,7,4.98,4.86,2.95,60.0,59.0,1113
411,1,0.8,4,3,5,5.96,5.91,3.71,62.5,59.0,2553
412,1,1.08,5,3,7,6.58,6.64,4.09,61.9,57.0,5791
413,1,0.96,1,1,3,6.28,6.23,3.72,59.5,60.0,2304
414,1,0.4,4,7,4,4.74,4.68,2.9,61.6,59.0,855
415,1,0.51,5,7,4,5.12,5.15,3.21,62.5,55.0,1264
416,1,2.28,4,3,4,8.44,8.4,5.23,62.1,59.0,18055
417,1,1.0,4,3,4,6.48,6.44,3.89,60.2,61.0,3920
420,1,1.01,3,7,8,6.34,6.4,3.98,62.5,59.0,10453
421,1,0.84,4,6,7,6.16,6.13,3.67,59.7,59.0,4318
422,1,0.72,5,5,6,5.75,5.73,3.57,62.2,56.0,2956
423,1,2.2,5,2,4,8.34,8.29,5.18,62.2,56.0,14277
424,1,0.6,4,6,5,5.46,5.5,3.33,60.8,58.0,1625
425,1,0.92,5,4,6,6.2,6.17,3.87,62.6,56.0,4405
426,1,0.27,3,4,7,4.25,4.36,2.53,58.8,57.0,399
429,1,0.27,5,3,6,4.19,4.17,2.53,60.5,57.0,509
430,1,1.14,3,7,5,6.7,6.85,4.08,60.2,60.0,7106
431,1,0.68,4,4,6,5.67,5.65,3.49,61.7,57.0,2040
432,1,1.01,1,3,4,6.3,6.26,4.11,65.4,59.0,2846
433,1,0.41,5,5,6,4.78,4.8,2.96,61.8,56.0,863
436,1,1.21,4,2,5,6.91,6.87,4.2,61.0,56.0,4404
438,1,1.0,3,2,6,6.43,6.32,4.03,63.2,58.0,3265
439,1,0.83,3,3,7,5.91,5.98,3.75,63.1,60.0,3153
440,1,0.51,3,7,6,5.04,5.06,3.19,63.2,60.0,1633
441,1,0.38,5,5,5,4.63,4.76,2.88,61.3,55.0,710
442,1,2.0,5,2,4,8.0,8.13,4.98,61.7,56.0,15092
443,1,1.13,4,6,4,6.75,6.7,4.06,60.4,59.0,5316
444,1,1.06,1,1,4,6.54,6.35,3.93,61.0,66.0,2992
446,1,0.51,5,6,5,5.14,5.16,3.16,61.4,56.0,1732
448,1,0.57,5,4,5,5.34,5.35,3.33,62.3,54.0,1441
450,1,0.97,4,3,4,6.44,6.41,3.78,58.8,58.0,3346
451,1,0.3,3,2,8,4.28,4.32,2.66,61.9,61.0,526
453,1,0.32,5,3,5,4.4,4.42,2.69,61.0,56.0,479
455,1,1.04,2,1,6,6.64,6.53,3.85,58.2,64.0,3285
456,1,0.41,3,3,8,4.71,4.74,2.98,63.1,58.0,847
457,1,1.51,4,3,5,7.57,7.54,4.38,58.0,59.0,10063
459,1,0.5,5,3,7,5.13,5.16,3.16,61.4,54.0,1370
460,1,0.52,4,7,8,5.28,5.22,3.14,59.8,60.0,2467
461,1,0.32,5,3,9,4.37,4.4,2.75,62.7,55.0,692
462,1,1.01,5,1,4,6.44,6.47,3.97,61.4,56.0,3997
466,1,0.33,4,4,9,4.43,4.4,2.74,62.1,58.0,1114
467,1,1.02,4,5,8,6.5,6.45,3.98,61.5,60.0,8445
468,1,0.32,3,3,5,4.37,4.34,2.75,63.1,55.0,576
470,1,1.13,5,2,4,6.69,6.71,4.12,61.4,56.0,4481
471,1,1.01,4,3,4,6.33,6.27,3.97,63.0,59.0,3671
472,1,0.7,3,3,4,5.62,5.65,3.54,62.8,59.0,2034
473,1,2.01,3,2,7,8.11,8.14,4.86,59.8,63.0,16914
475,1,1.58,5,4,10,7.45,7.51,4.65,62.2,57.0,17329
477,1,0.25,4,3,9,4.07,4.09,2.44,59.8,59.0,450
478,1,1.25,4,1,5,6.86,6.84,4.25,62.0,61.0,4200
479,1,1.01,2,6,5,6.28,6.35,4.01,63.5,58.0,4546
480,1,0.46,1,4,7,5.08,5.03,2.93,58.0,66.0,1035
481,1,0.55,4,4,5,5.32,5.29,3.19,60.1,61.0,1377
482,1,0.94,5,7,4,6.24,6.27,3.89,62.2,56.0,5155
484,1,1.24,4,2,4,6.88,6.84,4.26,62.1,58.0,5000
487,1,2.06,3,1,6,8.05,8.08,5.05,62.6,58.0,14119
488,1,1.0,2,7,6,6.34,6.31,4.04,63.9,56.0,7200
490,1,0.71,5,4,5,5.76,5.8,3.55,61.4,57.0,2136
491,1,0.24,3,5,9,4.05,4.07,2.45,60.4,56.0,608
492,1,0.9,3,6,5,6.15,6.2,3.81,61.7,58.0,4795
493,1,1.15,3,4,5,6.68,6.72,4.11,61.3,62.0,5538
495,1,0.7,4,3,6,5.71,5.68,3.46,60.8,58.0,2218
496,1,1.01,2,5,5,6.29,6.38,4.02,63.5,59.0,4899
498,1,0.41,3,6,5,4.72,4.76,2.98,62.9,56.0,755
499,1,0.8,5,5,5,5.9,5.97,3.74,62.8,54.0,2975
500,1,0.77,5,3,5,5.87,5.91,3.61,61.3,56.0,3089
501,1,0.3,5,6,7,4.34,4.36,2.68,61.6,55.0,857
502,1,0.7,1,3,5,5.49,5.59,3.59,64.8,57.0,1808
503,1,0.31,4,5,6,4.34,4.3,2.71,62.7,59.0,802
505,1,0.27,3,4,6,4.18,4.22,2.58,61.5,57.0,439
506,1,0.74,2,7,9,5.85,5.87,3.47,59.2,62.6,4274
508,1,0.53,5,7,6,5.25,5.21,3.2,61.2,55.0,1956
511,1,0.3,4,3,7,4.26,4.3,2.68,62.6,59.0,526
513,1,2.4,2,2,5,8.87,8.81,5.03,56.9,62.0,18541
514,1,1.72,5,2,6,7.69,7.63,4.81,62.8,57.0,11226
516,1,1.08,4,4,7,6.62,6.55,4.05,61.5,61.0,6532
518,1,1.07,5,5,5,6.57,6.59,4.1,62.3,53.0,6049
519,1,0.32,4,6,6,4.43,4.4,2.7,61.2,59.0,900
521,1,1.5,4,2,9,7.32,7.29,4.56,62.4,60.0,11155
522,1,0.52,5,6,8,5.21,5.24,3.18,60.9,56.0,2220
523,1,0.4,3,4,5,4.74,4.76,2.83,59.6,61.0,655
528,1,0.32,4,3,6,4.41,4.35,2.67,61.0,60.0,648
529,1,0.91,3,4,4,6.17,6.23,3.83,61.8,59.0,3388
530,1,1.21,3,2,5,6.89,6.97,4.2,60.6,56.0,5457
531,1,0.56,3,5,6,5.34,5.39,3.22,60.0,57.0,1627
532,1,0.71,5,6,8,5.71,5.74,3.55,62.0,56.0,4467
533,1,1.04,3,5,6,6.54,6.48,3.97,61.0,60.0,6361
535,1,1.04,5,3,4,6.49,6.53,4.02,61.7,55.0,4557
